BMW Income Statement						Volkswagen Income Statement						Company Performance Ratios								
EUR, '000 000	2016	2017	2018	2019		EUR, '000 000	2016	2017	2018	2019				2016	2017	2018	2019			
Total Revenue	94,163.00	98,282.00	96,855.00	104,210.00		Total Revenue	217,267.00	229,550.00	235,849.00	252,632.00		Profitability								
   Revenue	94,163.00	98,282.00	96,855.00	104,210.00		   Revenue	217,267.00	229,550.00	235,849.00	252,632.00										
   Other Revenue, Total	0.00	0.00	0.00	0.00		   Other Revenue, Total	0.00	0.00	0.00	0.00		ROCE (ROI)	BMW							Return on capital employed (ROCE) = operating profit / (non-current liabilities +total equity) %
Cost of Revenue, Total	75,442.00	78,329.00	78,477.00	86,147.00		Cost of Revenue, Total	174,901.00	184,816.00	188,335.00	202,660.00			Volkswagen							
Gross Profit	18,721.00	19,953.00	18,378.00	18,063.00		Gross Profit	42,366.00	44,734.00	47,514.00	49,972.00										
Total Operating Expenses	84,777.00	88,383.00	87,922.00	96,799.00		Total Operating Expenses	210,164.00	215,732.00	221,929.00	235,672.00		ROS	BMW							Return on sales (ROS) = operating profit / revenue %
   Selling/General/Admin. Expenses, Total	9,158.00	9,560.00	9,568.00	9,367.00		   Selling/General/Admin. Expenses, Total	30,976.00	29,592.00	29,891.00	29,263.00			Volkswagen							
   Research & Development	0.00	0.00	0.00	0.00		   Research & Development	0.00	0.00	0.00	0.00										
   Depreciation / Amortization	0.00	0.00	0.00	0.00		   Depreciation / Amortization	0.00	0.00	0.00	0.00		Gross margin	BMW							Gross margin = gross profit/ revenue %
   Interest Expense (Income) - Net Operating	(13.00)	(36.00)	(50.00)	33.00		   Interest Expense (Income) - Net Operating	1,446.00	(339.00)	744.00	(2,208.00)			Volkswagen							
   Unusual Expense (Income)	(69.00)	(59.00)	(63.00)	124.00		   Unusual Expense (Income)	1,150.00	1,148.00	936.00	(233.00)										
   Other Operating Expenses, Total	259.00	589.00	(10.00)	1,128.00		   Other Operating Expenses, Total	1,691.00	515.00	2,023.00	6,190.00		Liquidity								
Operating Income	9,386.00	9,899.00	8,933.00	7,411.00		Operating Income	7,103.00	13,818.00	13,920.00	16,960.00										
Interest Income (Expense), Net Non-Operating	363.00	842.00	785.00	(67.00)		Interest Income (Expense), Net Non-Operating	1,338.00	1,442.00	3,444.00	2,600.00		Current ratio	BMW							Current ratio = current assets / current liabilities
